636631185402400565	20	0	5237
636631185404388759	20	6	5432
636631185404388759	20	10	5443
636631185404614754	20	17	5448
636631185404614754	20	24	5456
636631185404614754	20	29	5466
636631185404833027	20	36	5472
636631185404833027	20	42	5481
636631185405054988	20	46	5491
636631185405054988	20	47	5497
636631185405054988	20	49	5507
636631185405386774	20	50	5531
636631185405607361	20	52	5553
636631185405832775	20	53	5568
636631185406053437	20	55	5595
636631185406190004	20	56	5611
636631185406388932	20	57	5635
636631185406388932	20	58	5643
636631185406634383	20	59	5648
636631185406634383	20	61	5658
636631185406832769	20	62	5675
636631185406832769	20	64	5681
636631185407073052	20	66	5691
636631185407073052	20	68	5699
636631185407163258	20	71	5715
636631185407163258	20	72	5721
636631185407393613	20	73	5739
636631185407644644	20	74	5749
636631185407644644	20	75	5754
636631185407834919	20	76	5768
636631185407834919	20	77	5779
636631185408167372	20	78	5804
636631185408167372	20	79	5810
636631185408167372	20	80	5816
636631185408392524	20	81	5835
636631185408392524	20	82	5840
636631185408612960	20	83	5859
636631185409054411	20	84	5890
636631185409174690	20	85	5912
636631185409389829	20	86	5936
636631185409835172	20	87	5986
636631185410194154	20	88	6003
636631185410194154	20	89	6009
636631185410389835	20	90	6032
636631185410389835	20	91	6041
636631185410635400	20	92	6049
636631185410833823	20	93	6070
636631185410833823	20	94	6081
636631185411078077	20	95	6088
636631185411078077	20	96	6104
636631185411164845	20	97	6114
636631185411385940	20	98	6125
636631185411608814	20	99	6160
636631185412162841	20	100	6217
636631185413833477	20	99	6369
636631185413833477	20	97	6376
636631185413833477	20	94	6387
636631185414071399	20	91	6392
636631185414071399	20	88	6400
636631185414071399	20	86	6408
636631185414166447	20	82	6416
636631185414391598	20	79	6424
636631185414391598	20	75	6435
636631185414391598	20	72	6440
636631185414616776	20	69	6449
636631185414616776	20	66	6456
636631185414841936	20	64	6467
636631185414841936	20	59	6472
636631185414841936	20	57	6480
636631185414841936	20	55	6488
636631185414977032	20	51	6496
636631185415167153	20	48	6504
636631185415167153	20	46	6512
636631185415167153	20	45	6520
636631185415387319	20	42	6528
636631185415387319	20	40	6536
636631185415612576	20	37	6544
636631185415612576	20	34	6553
636631185415612576	20	31	6560
636631185415834224	20	29	6568
636631185415834224	20	25	6579
636631185415834224	20	22	6584
636631185415944105	20	19	6592
636631185416180085	20	15	6600
636631185416180085	20	12	6608
636631185416180085	20	8	6617
636631185416394118	20	7	6624
636631185416394118	20	4	6635
636631185416394118	20	1	6641
636631185416630591	20	0	6648
636631185421161912	20	6	7112
636631185421161912	20	21	7120
636631185421413236	20	33	7128
636631185421418008	20	45	7136
636631185421608283	20	58	7144
636631185421608283	20	71	7155
636631185421608283	20	82	7161
